FBgn0033313 	LPHN_DROME
FBgn0062442 	CISD2_DROME
FBgn0000317 	MYO7A_DROME
FBgn0015024 	KC1A_DROME
FBgn0264492 	CSK2A_DROME
FBgn0000259 	CSK2B_DROME
FBgn0026136 	CSK2C_DROME
FBgn0010314 	CKS1_DROME
FBgn0052251 	CLSPN_DROME
FBgn0259152 	NEMF_DROME
FBgn0024814 	CLC_DROME
FBgn0051116 	CLCN2_DROME
FBgn0020503 	CL190_DROME
FBgn0023076 	CLOCK_DROME
FBgn0015621 	CPSF4_DROME
FBgn0039360 	CRLS1_DROME
FBgn0034087 	CLU_DROME
FBgn0000337 	KMO_DROME
FBgn0262975 	CNC_DROME
FBgn0261612 	CNGA_DROME
FBgn0000339 	CNI_DROME
FBgn0034988 	5NT3B_DROME
FBgn0013765 	CNN_DROME
FBgn0031536 	COG3_DROME
FBgn0051040 	COG7_DROME
FBgn0033265 	COIL_DROME
FBgn0019830 	COLT_DROME
FBgn0010105 	COMM_DROME
FBgn0000346 	NSF1_DROME
FBgn0005775 	CONN_DROME
FBgn0037240 	CONT_DROME
FBgn0013437 	COPIA_DROME
FBgn0021944 	HEM6_DROME
FBgn0037574 	COQ2_DROME
FBgn0010434 	41_DROME
FBgn0261573 	RCOR_DROME
FBgn0000351 	CORT_DROME
FBgn0010313 	CORTO_DROME
FBgn0000352 	COS_DROME
FBgn0019624 	COX5A_DROME
FBgn0040529 	COX7A_DROME
FBgn0013770 	CATL_DROME
FBgn0000355 	CH15_DROME
FBgn0000356 	CH16_DROME
FBgn0000357 	CH18_DROME
FBgn0000358 	CH19_DROME
FBgn0000359 	CH36_DROME
FBgn0000360 	CH38_DROME
FBgn0000283 	CP190_DROME
FBgn0034577 	CAPZA_DROME
FBgn0011570 	CAPZB_DROME
FBgn0261714 	CPN_DROME
FBgn0263995 	CPO_DROME
FBgn0015623 	NCPR_DROME
FBgn0086519 	LCP2A_DROME
FBgn0261065 	CPSF3_DROME
FBgn0027873 	CPSF2_DROME
FBgn0024698 	CPSF1_DROME
FBgn0041605 	CPLX_DROME
FBgn0259685 	CRB_DROME
FBgn0005585 	CALR_DROME
FBgn0004396 	CREBA_DROME
FBgn0265784 	CREBB_DROME
FBgn0024811 	CRK_DROME
FBgn0000376 	CRM_DROME
FBgn0000377 	CRN_DROME
FBgn0014143 	CROC_DROME
FBgn0015924 	CRQ_DROME
FBgn0025680 	CRY1_DROME
FBgn0013767 	CORZ_DROME
FBgn0027057 	CSN1_DROME
FBgn0027055 	CSN3_DROME
FBgn0027054 	CSN4_DROME
FBgn0027053 	CSN5_DROME
FBgn0028837 	CSN6_DROME
FBgn0028836 	CSN7_DROME
FBgn0261437 	CSN8_DROME
FBgn0004179 	DNJC5_DROME
FBgn0015925 	ANM5_DROME
FBgn0000382 	CSW_DROME
FBgn0004198 	CUT_DROME
FBgn0000384 	GNAL_DROME
FBgn0020496 	CTBP_DROME
FBgn0011760 	DYL1_DROME
FBgn0266452 	PYRG_DROME
FBgn0052702 	CUBN_DROME
FBgn0011204 	CUE_DROME
FBgn0260932 	CUFF_DROME
FBgn0015509 	CUL1_DROME
FBgn0000392 	CUP_DROME
FBgn0023094 	CYCL_DROME
FBgn0000404 	CCNA_DROME
FBgn0000405 	CCNB_DROME
FBgn0015625 	CCNB3_DROME
FBgn0004597 	CCNC_DROME
FBgn0010382 	CCNE_DROME
FBgn0039858 	CYCG_DROME
FBgn0025455 	CCNT_DROME
FBgn0004432 	PPIA_DROME
FBgn0034053 	C4AA1_DROME
FBgn0031693 	C4AC1_DROME
FBgn0031694 	C4AC2_DROME
FBgn0031695 	C4AC3_DROME
FBgn0033292 	C4AD1_DROME
FBgn0015036 	C4AE1_DROME
FBgn0015032 	CP4C3_DROME
FBgn0005670 	CP4D1_DROME
FBgn0011576 	CP4D2_DROME
FBgn0015033 	CP4D8_DROME
FBgn0023541 	C4D14_DROME
FBgn0035344 	C4D20_DROME
FBgn0031925 	C4D21_DROME
FBgn0015034 	CP4E1_DROME
FBgn0014469 	CP4E2_DROME
FBgn0015035 	CP4E3_DROME
FBgn0010019 	CP4G1_DROME
FBgn0030304 	C4G15_DROME
FBgn0015037 	CP4P1_DROME
FBgn0033395 	CP4P2_DROME
FBgn0033397 	CP4P3_DROME
FBgn0030615 	CP4S3_DROME
FBgn0000473 	CP6A2_DROME
FBgn0013772 	CP6A8_DROME
FBgn0013771 	CP6A9_DROME
FBgn0033304 	C6A13_DROME
FBgn0033302 	C6A14_DROME
FBgn0015714 	C6A17_DROME
FBgn0039519 	C6A18_DROME
FBgn0033979 	C6A19_DROME
FBgn0033980 	C6A20_DROME
FBgn0033981 	C6A21_DROME
FBgn0013773 	C6A22_DROME
FBgn0033978 	C6A23_DROME
FBgn0034756 	CP6D2_DROME
FBgn0039006 	CP6D4_DROME
FBgn0038194 	CP6D5_DROME
FBgn0025454 	CP6G1_DROME
FBgn0033696 	CP6G2_DROME
FBgn0031182 	CP6T1_DROME
FBgn0033697 	CP6T3_DROME
FBgn0033121 	CP6U1_DROME
FBgn0031126 	CP6V1_DROME
FBgn0033065 	CP6W1_DROME
FBgn0015038 	CP9B1_DROME
FBgn0015039 	CP9B2_DROME
FBgn0015040 	CP9C1_DROME
FBgn0038037 	CP9F2_DROME
FBgn0033775 	CP9H1_DROME
FBgn0038681 	C12A4_DROME
FBgn0038680 	C12A5_DROME
FBgn0034387 	C12B2_DROME
FBgn0036806 	C12C1_DROME
FBgn0053503 	CCD1D_DROME
FBgn0050489 	CCD1P_DROME
FBgn0037817 	C12E1_DROME
FBgn0010383 	CP18A_DROME
FBgn0028940 	C28A5_DROME
FBgn0030339 	C28C1_DROME
FBgn0031689 	C28D1_DROME
FBgn0031688 	C28D2_DROME
FBgn0028382 	PPIE_DROME
FBgn0033524 	C49A1_DROME
FBgn0033753 	CP301_DROME
FBgn0001992 	CP303_DROME
FBgn0038095 	CP304_DROME
FBgn0036910 	CP305_DROME
FBgn0030949 	CP308_DROME
FBgn0031432 	CP391_DROME
FBgn0041337 	CP392_DROME
FBgn0032693 	CP310_DROME
FBgn0030367 	CP311_DROME
FBgn0036778 	CP312_DROME
FBgn0038236 	CA131_DROME
FBgn0038006 	CP132_DROME
FBgn0038007 	CP133_DROME
FBgn0038076 	CP134_DROME
FBgn0038005 	CP135_DROME
FBgn0037601 	CP313_DROME
FBgn0035790 	CP316_DROME
FBgn0033982 	CP317_DROME
FBgn0030369 	CP318_DROME
